smiles,logp
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],3.63
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.97
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.23
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,3.63
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.87
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.18
CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC,2.94
C[N+](C)(C)CCOC(N)=O,-2.95
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1,2.95
CCCNC1CCc2nc(N)sc2C1,2.18
CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,1.72
CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,0.88
CC1(C)SC2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O,1.78
C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O,2.20
CCCCN1CC(O)C(O)C(O)C1CO,-1.14
CN(C)CCCN1c2ccccc2Sc2ccccc21,4.63
CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,3.10
COC(=O)C(c1ccccc1)C1CCCCN1,1.47
COc1ccccc1OCC(O)COC(N)=O,0.63
Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,3.15
CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O,0.13
Cc1ccc(C(=CCN2CCCC2)c2ccccn2)cc1,4.14
CN(N=O)C(=O)NC1C(O)OC(CO)C(O)C1O,-1.71
Cc1cc(=O)c(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CSC23)c2ccc(O)cc2)c[nH]1,0.53
