smiles,logp
CCC1C=C(C)CC(C)CC(OC)C2OC(O)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C)=CC3CCC(Cl)C(OC)C3)C(C)C(O)CC1=O)C(C)CC2OC,4.36
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1.66
NC(=O)c1cnccn1,-0.71
CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1,5.51
O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.98
COc1ccc(C2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1,3.09
CNCCCC1c2ccccc2C=Cc2ccccc21,4.65
Nc1ccc(C(=O)NCC(=O)O)cc1,0.00
COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,2.02
CN1C(=O)OC(C)(C)C1=O,0.07
O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-],2.06
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,2.14
Nc1cc(N2CCCCC2)nc(N)[n+]1[O-],1.24
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,3.71
Nc1nc(=S)c2[nH]cnc2[nH]1,-0.36
CCC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2N(C)C1,1.74
CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1,6.16
CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc([NH3+])n2)C(=O)N1S(=O)(=O)[O-],0.04
O=c1[nH]c2cc(Cl)ccc2o1,2.09
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,1.49
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,3.10
Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,0.25
CC(O)C(O)C1CNc2nc(N)[nH]c(=O)c2N1,-1.82
CCC1=CC2CN(C1)Cc1c([nH]c3ccccc13)C(C(=O)OC)(c1cc3c(cc1OC)N(C)C1C(O)(C(=O)OC)C(OC(C)=O)C4(CC)C=CCN5CCC31C54)C2,4.39
CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,1.87
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,3.67
O=S(=O)(OCC1OC(OC2(COS(=O)(=O)O[AlH3](O)O)OC(OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C2OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C(OS(=O)(=O)O[AlH3](O)O)C1OS(=O)(=O)O[AlH3](O)O)O[AlH3](O)O,0.98
CN(C)CCOC(C)(c1ccccc1)c1ccccn1,2.90
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,3.25
NCC(O)c1ccc(O)c(O)c1,-1.40
Nc1ccn(CC(CO)OCP(=O)(O)O)c(=O)n1,-2.12
CN1CCN2c3ncccc3Cc3ccccc3C2C1,2.90
CCCC(C)(COC(N)=O)COC(N)=O,1.06
CC(C)(C)NCC(O)COc1nsnc1N1CCOCC1,1.44
CCCCCC(O)CCC1C(O)CC2Cc3c(cccc3OCC(=O)O)CC21,3.53
OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1,4.93
O=C1c2cccc3c2C(CCC3)CN1C1CN2CCC1CC2,2.72
CC(=O)C1CCC2C3C=CC4=CC(=O)CCC4(C)C3CCC12C,3.27
Cc1cccc(C)c1OCC(C)N,2.17
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,-1.05
CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,2.22
CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1,2.89
Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1,1.21
CCCCC(=O)OCC(=O)C1(O)Cc2c(O)c3c(c(O)c2C(OC2CC(NC(=O)C(F)(F)F)C(O)C(C)O2)C1)C(=O)c1c(OC)cccc1C3=O,2.67
OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1,4.13
CNCC(O)c1cccc(O)c1,-0.69
CCOC(=O)n1ccn(C)c1=S,0.78
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.04
CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,1.20
CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,5.75
COCCOC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1,3.41
CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,3.69
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,1.76
CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,3.58
CC(N)C(O)c1ccccc1,0.57
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1,4.12
O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O,-0.93
COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O,2.71
COC(=O)C1=C(C)NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],3.63
CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,0.97
CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CNC(=O)C(NC(=O)C(Cc1ccc(OS(=O)(=O)O)cc1)NC(=O)C(CC(=O)O)NC(=O)C(CCC(N)=O)NC(=O)C1CCC(=O)N1)C(C)O)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O,-0.19
Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,2.23
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,3.63
CN(C)c1ccc(C(=C2C=CC(=[N+](C)C)C=C2)c2ccc(N(C)C)cc2)cc1,0.87
CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1,3.18
CCN1CCCC1CNC(=O)c1c(OC)ccc(Br)c1OC,2.94
